,dt,pEKS,sEKS,dp5,kv5,N
0,1.0,0.0016641616821289062,0.001852273941040039,0.0010924339294433594,0.0178377628326416,10.0
1,0.5,0.002241373062133789,0.0033409595489501953,0.0018603801727294922,0.022531747817993164,20.0
2,0.25,0.0028295516967773438,0.006186008453369141,0.0028524398803710938,0.04008936882019043,40.0
3,0.125,0.003057718276977539,0.010294198989868164,0.0047054290771484375,0.06499505043029785,80.0
4,0.0625,0.0035178661346435547,0.019731521606445312,0.009217023849487305,0.12687277793884277,160.0
5,0.03125,0.004026651382446289,0.039288997650146484,0.01798725128173828,0.25277018547058105,320.0
6,0.015625,0.005300760269165039,0.07817745208740234,0.03565788269042969,0.5047876834869385,640.0
7,0.0078125,0.00531315803527832,0.15594244003295898,0.07088351249694824,1.0173687934875488,1280.0
8,0.00390625,0.0063817501068115234,0.31027650833129883,0.14030742645263672,2.017153263092041,2560.0
9,0.001953125,0.008968591690063477,0.621880292892456,0.2824127674102783,4.077937602996826,5120.0
10,0.0009765625,0.011558055877685547,1.2491652965545654,0.5625507831573486,8.104020595550537,10240.0
11,0.00048828125,0.015143156051635742,2.5031118392944336,1.1255264282226562,16.328188180923462,20480.0
12,0.000244140625,0.024660825729370117,4.990776777267456,2.2430641651153564,32.59522247314453,40960.0
13,0.0001220703125,0.04407978057861328,9.987632513046265,4.53060245513916,64.99828767776489,81920.0
14,6.103515625e-05,0.0840921401977539,20.112541675567627,9.01557993888855,,163840.0
