Ns,DP5_runtime,DP5_rmse_final,DP5_rmse_traj,ImplicitEuler_runtime,ImplicitEuler_rmse_final,ImplicitEuler_rmse_traj,KV3_runtime,KV3_rmse_final,KV3_rmse_traj,KV5_runtime,KV5_rmse_final,KV5_rmse_traj,EKS(1)_runtime,EKS(1)_rmse_final,EKS(1)_rmse_traj,EKS(2)_runtime,EKS(2)_rmse_final,EKS(2)_rmse_traj,EKS(3)_runtime,EKS(3)_rmse_final,EKS(3)_rmse_traj,IEKS(1)_runtime,IEKS(1)_rmse_final,IEKS(1)_rmse_traj,IEKS(1)_iterations,IEKS(2)_runtime,IEKS(2)_rmse_final,IEKS(2)_rmse_traj,IEKS(2)_iterations,IEKS(3)_runtime,IEKS(3)_rmse_final,IEKS(3)_rmse_traj,IEKS(3)_iterations,sIEKS(1)_runtime,sIEKS(1)_rmse_final,sIEKS(1)_rmse_traj,sIEKS(1)_iterations,sIEKS(2)_runtime,sIEKS(2)_rmse_final,sIEKS(2)_rmse_traj,sIEKS(2)_iterations,sIEKS(3)_runtime,sIEKS(3)_rmse_final,sIEKS(3)_rmse_traj,sIEKS(3)_iterations
128,0.013750314712524414,0.0002829852475959304,0.003332286305249293,,,,,,,,,,0.02103567123413086,2.358053580874752,1.6197431605283215,0.025300264358520508,3.0076208458876037,2.4999223606080045,0.024306058883666992,4.386688485037647e+19,1.2790343988166582e+18,2.627958059310913,0.451233275566417,1.2787727977968983,880.0,0.25992894172668457,0.08938854227627796,1.3853861575637585,67.0,0.445387601852417,3.125987550692288,1.794409846135384,99.0,2.1761672496795654,0.5078633077108651,1.3747512483946576,117.0,1.387559413909912,0.08938854227627753,1.3853861575637578,67.0,2.2471835613250732,3.12598755069259,1.7944098461346483,99.0
256,0.02623271942138672,2.5241143402840724e-05,3.9955826597144085e-05,0.08366751670837402,0.07047061091512861,0.15469103636448983,0.19558000564575195,0.0007290145942473283,0.0013888271710746677,0.3267953395843506,5.738102152898633e-06,1.0941124655183098e-05,0.04181098937988281,2.379604503366552,1.5941383456440252,0.04354238510131836,0.0015929955285370295,0.004032436608673382,0.048267364501953125,0.004360498031592713,0.008574767837886415,0.33121323585510254,0.028423344302798272,0.8176650392700199,100.0,4.114318132400513,0.006355251954922836,0.008151601912231465,913.0,0.9516811370849609,0.00036240443327269055,0.0018235348461854528,184.0,3.537663698196411,0.02842334247074373,0.8176650889284931,100.0,37.871678590774536,0.006355251957775058,0.008151601915239568,913.0,8.320448398590088,0.0003624045889810324,0.0018235351361803138,184.0
512,0.0525054931640625,3.081242713277142e-07,4.76634781828307e-07,0.14499902725219727,0.033959545900510715,0.0737800317870037,0.3541438579559326,5.990118586014863e-05,0.00012069558171420585,0.5724925994873047,1.9547162371312297e-07,3.652075393961601e-07,0.08241081237792969,2.544173815798264,1.6107898718340297,0.0854792594909668,0.008845659170379548,0.01715290207817277,0.09634661674499512,3.938947352141179e-05,8.60047680527815e-05,3.8616981506347656,2.3564545610297865,1.4813953565718774,1001.0,0.7422246932983398,0.0001389756331514545,0.0002868723524418023,142.0,0.39208984375,2.7351868083492292e-06,5.649881202923129e-06,64.0,73.23085284233093,0.5022282356736067,1.3301165841177365,1001.0,11.86047887802124,0.00013897563315410486,0.0002868723524507388,142.0,5.8007917404174805,2.742996773993741e-06,5.665458094504087e-06,64.0
1024,0.10527563095092773,4.182233870925432e-09,6.819750592138496e-09,0.2603423595428467,0.016722145739121244,0.0361192320860616,0.6420063972473145,5.692996870918361e-06,1.2091517830252497e-05,1.0806474685668945,8.019059490250788e-09,1.4456708751265544e-08,0.16594314575195312,1.1019773988313775,1.0993405015057458,0.17398285865783691,0.0006728296211025757,0.0013631222540508431,0.19223475456237793,1.290021378226479e-08,3.1899152570693685e-08,0.8341784477233887,0.48253998150614535,0.8997859853781537,192.0,0.41229820251464844,1.1338316551717426e-05,2.317064065797513e-05,66.0,0.4410266876220703,6.053608910214185e-08,1.2399852593040947e-07,62.0,27.736810445785522,0.4825399814770527,0.8997859853492494,192.0,10.966347217559814,1.1338315743102662e-05,2.3170639061985998e-05,66.0,11.257357358932495,6.053774684657627e-08,1.2400178169107084e-07,62.0
2048,0.20596003532409668,6.1658518029449e-11,1.6339536311789435e-10,0.5039725303649902,0.008302981816599896,0.017879031325124143,1.1716666221618652,6.086962015585267e-07,1.3425947937823697e-06,2.2418344020843506,5.526613092311796e-10,9.38776895974519e-10,0.3293135166168213,0.8971395103819535,1.0756706812055605,0.3431074619293213,6.479475852527998e-06,1.3161147250039275e-05,0.38169121742248535,9.056776858780874e-10,1.8546255599336042e-09,3.521188735961914,0.00419528683648905,0.008358802486911595,688.0,0.44914817810058594,1.4277201012581135e-06,2.8879430020158385e-06,62.0,0.4804399013519287,9.385292056307562e-10,1.9132498338963036e-09,58.0,197.10670590400696,0.004195286836507162,0.008358802486941683,688.0,20.525765657424927,1.4277156450424355e-06,2.8879340378777866e-06,62.0,22.41619610786438,9.381638280530045e-10,1.9125648010401897e-09,62.0
4096,0.41858696937561035,2.9479188961759913e-12,5.049308190518691e-11,0.9857046604156494,0.004137700004545847,0.008895752004618437,2.417464256286621,6.937086624547867e-08,1.5685429312541184e-07,4.4109954833984375,2.0984021386911928e-11,7.96956487035502e-11,0.6645524501800537,0.02216254370748947,0.042050810479119835,0.6854605674743652,1.1116096589164882e-07,2.2456056492212898e-07,0.7662134170532227,1.2330097524993027e-11,5.941364323488313e-11,1.376617670059204,0.00103741258964142,0.002073703880961783,216.0,0.5518653392791748,9.280529065655199e-08,1.8789085228961334e-07,62.0,0.6939113140106201,1.2400540903028274e-11,5.948687158398186e-11,65.0,123.93059349060059,0.0010374125897147566,0.0020737038811115714,216.0,41.051509380340576,9.280532211396988e-08,1.878909110447305e-07,62.0,44.859376668930054,1.2400282979689413e-11,5.948618263015109e-11,62.0
8192,0.8330123424530029,2.1146705799512296e-12,4.8659268488989474e-11,1.9867568016052246,0.0020654910173157816,0.004437101446423001,4.810879707336426,8.316782607019749e-09,1.9000540719348367e-08,9.107751846313477,2.704642153593598e-12,4.93520609269589e-11,1.3155841827392578,0.004483746592755057,0.008885251933279036,1.411836862564087,5.840207384479493e-09,1.1826658649831889e-08,1.5400660037994385,1.883161481174534e-12,4.8068188447877934e-11,0.8422651290893555,0.0002610731515072357,0.0005222978123754565,102.0,0.7311742305755615,5.783969351850835e-09,1.1716180112783913e-08,62.0,1.1962394714355469,1.9395183437653992e-12,4.808006828289842e-11,81.0,117.46726942062378,0.00026107315158625626,0.0005222978125372532,102.0,82.42892384529114,5.783963247634372e-09,1.171614366090371e-08,62.0,90.79636859893799,1.8832494273571337e-12,4.8068191870331864e-11,62.0
16384,1.6654388904571533,2.1030375533650035e-12,4.736002700962209e-11,4.112500905990601,0.0010319166927684835,0.002215877509471061,9.517663478851318,1.0154408885852186e-09,2.311698233299169e-09,17.314801692962646,2.1228308946332428e-12,4.737910512046e-11,2.6361610889434814,0.0010628477209681316,0.002170462801697645,2.947360038757324,3.580625317079695e-10,7.193685331246351e-10,3.101320743560791,2.0957798456559177e-12,4.8380405207652435e-11,0.834458589553833,7.55031247401027e-05,0.0001510899861337407,71.0,1.1227271556854248,3.578177929818391e-10,7.19616493427666e-10,62.0,2.522953748703003,2.1001468574260724e-12,4.837170217038872e-11,111.0,163.87169313430786,7.550312476622267e-05,0.0001510899861619735,71.0,165.64690852165222,3.579564962261321e-10,7.191726635779372e-10,62.0,180.68418264389038,2.0957886426675943e-12,4.837965560231657e-11,62.0
32768,3.360701084136963,2.1065102749726164e-12,4.8155590905828886e-11,8.255789041519165,0.0005157525001500678,0.0011072729958183749,18.80708384513855,1.2369126346343585e-10,2.8666948114973273e-10,34.86669945716858,2.107091267206948e-12,4.8155964137587085e-11,5.279249429702759,0.00016658037161733393,0.0003437049656500656,5.69169282913208,2.0218793815301666e-11,7.122572962166069e-11,6.1648101806640625,2.097390858269484e-12,4.833896669319793e-11,1.2051572799682617,2.1320963645669218e-05,4.268597723190886e-05,60.0,1.3761413097381592,2.0221164787373756e-11,7.119845576116257e-11,46.0,4.241457939147949,2.0921131386186094e-12,4.8357178401720304e-11,111.0,271.48680210113525,2.1320963780027735e-05,4.26859775465932e-05,60.0,330.7361979484558,2.0216601729369663e-11,7.122268188447906e-11,62.0,361.5312464237213,2.09677009232666e-12,4.833692291414681e-11,62.0
65536,6.792446136474609,2.1013869818514745e-12,4.833457467488173e-11,16.566033124923706,0.0002578249583605739,0.0005534703867495481,37.79440879821777,1.3534221702552606e-11,6.179088688636281e-11,70.2974705696106,2.1012285313689146e-12,4.833435220124046e-11,10.522072076797485,1.918281355863426e-05,3.9390612044322606e-05,11.29367446899414,7.536801852966376e-13,4.693959336891029e-11,12.359725952148438,2.045348858112843e-12,4.8286765065312187e-11,2.0338938236236572,5.476805808032098e-06,1.0968565241837765e-05,61.0,3.533677339553833,7.42962107145245e-13,4.689370672561762e-11,64.0,5.422751188278198,2.119063746748992e-12,4.8399897377427845e-11,80.0,558.5035388469696,5.476805854336055e-06,1.0968565364862484e-05,61.0,661.9692516326904,7.538046188724884e-13,4.6941118363953144e-11,62.0,721.683441400528,2.04558238149083e-12,4.828668019353686e-11,62.0
