Ns,DP5_runtime,DP5_rmse_final,DP5_rmse_traj,ImplicitEuler_runtime,ImplicitEuler_rmse_final,ImplicitEuler_rmse_traj,KV3_runtime,KV3_rmse_final,KV3_rmse_traj,KV5_runtime,KV5_rmse_final,KV5_rmse_traj,EKS(1)_runtime,EKS(1)_rmse_final,EKS(1)_rmse_traj,EKS(2)_runtime,EKS(2)_rmse_final,EKS(2)_rmse_traj,EKS(3)_runtime,EKS(3)_rmse_final,EKS(3)_rmse_traj,IEKS(1)_runtime,IEKS(1)_rmse_final,IEKS(1)_rmse_traj,IEKS(1)_iterations,IEKS(2)_runtime,IEKS(2)_rmse_final,IEKS(2)_rmse_traj,IEKS(2)_iterations,IEKS(3)_runtime,IEKS(3)_rmse_final,IEKS(3)_rmse_traj,IEKS(3)_iterations,sIEKS(1)_runtime,sIEKS(1)_rmse_final,sIEKS(1)_rmse_traj,sIEKS(1)_iterations,sIEKS(2)_runtime,sIEKS(2)_rmse_final,sIEKS(2)_rmse_traj,sIEKS(2)_iterations,sIEKS(3)_runtime,sIEKS(3)_rmse_final,sIEKS(3)_rmse_traj,sIEKS(3)_iterations
32,0.004582405090332031,1.9118484475504272e-05,1.098533583162473e-05,0.01192021369934082,0.4669312371777861,0.2880487485811951,0.023686647415161133,0.009130599362055751,0.00404933843750073,0.03986334800720215,5.066224944349231e-05,2.1885789050733617e-05,0.0074307918548583984,0.2328763867974103,0.10911532033884602,0.007598876953125,0.004486525030432381,0.0020059049168084367,0.00856161117553711,0.00018123594206434905,2.3313741873067893e-05,0.1188201904296875,0.2686451201589484,0.16150158248909072,39.0,0.07226109504699707,0.0043573294288579735,0.0019302292561748419,14.0,0.10860371589660645,0.0001876255840459253,2.0911116542014446e-05,15.0,0.21960759162902832,0.26864512015894854,0.16150158248909086,39.0,0.09870052337646484,0.00435732942885843,0.00193022925617495,14.0,0.12093567848205566,0.00018762558404692315,2.0911116541446385e-05,15.0
64,0.007147550582885742,6.089647648963944e-07,3.13144189250517e-07,0.019571304321289062,0.3489200959086746,0.20436387001267098,0.045369625091552734,0.001172817173004582,0.0005414188435004806,0.07033228874206543,1.5345665954835234e-06,6.860532092593605e-07,0.015030384063720703,0.11820677831873468,0.05273035493047478,0.017895221710205078,0.0002658445961785992,0.00011304079357607368,0.02013111114501953,1.2280827247520176e-05,4.7486512847523157e-07,0.10368895530700684,0.14266606986700017,0.07542963243847303,28.0,0.0774996280670166,0.0002646190331913426,0.00011221130914326359,13.0,0.13303518295288086,1.2300758628607525e-05,4.689042814212644e-07,15.0,0.31629490852355957,0.14266606986700042,0.07542963243847303,28.0,0.18397068977355957,0.0002646190331904802,0.00011221130914271581,13.0,0.24382257461547852,1.2300758629924553e-05,4.6890428104302783e-07,15.0
128,0.012526273727416992,1.8633187492732726e-08,9.039654276994781e-09,0.031152009963989258,0.227833459752353,0.129963035343535,0.07352018356323242,0.00014644869700104602,6.922830225737395e-05,0.1260209083557129,4.6798793823900376e-08,2.1267252036565392e-08,0.03012228012084961,0.040550922446061434,0.01795950203514423,0.0318760871887207,1.8034369302360587e-05,6.8144819549610894e-06,0.035288095474243164,7.702166944935048e-07,1.2002183239582415e-08,0.09153556823730469,0.04413642829406702,0.02074745381416358,21.0,0.10074949264526367,1.8019194254445613e-05,6.804031564251925e-06,14.0,0.14104914665222168,7.702737488023343e-07,1.1987133004757243e-08,13.0,0.4759547710418701,0.04413642829406722,0.020747453814163645,21.0,0.397188663482666,1.8019194257892305e-05,6.804031566372784e-06,14.0,0.4243638515472412,7.702737490477391e-07,1.1987133341365772e-08,13.0
256,0.02250051498413086,5.714750520358694e-10,2.665144921394289e-10,0.05704808235168457,0.13659880503924993,0.07514342579882966,0.12453556060791016,1.8240561078905296e-05,8.72878121872526e-06,0.24283051490783691,1.440497969981552e-09,6.568912188331372e-10,0.053430795669555664,0.011054625598281012,0.004906080262453649,0.06078624725341797,1.438998996392606e-06,4.2016776849918985e-07,0.06857442855834961,4.796424501805556e-08,3.309860117543298e-10,0.08691525459289551,0.011310166778084886,0.005099728793484139,17.0,0.13766717910766602,1.4387955479818272e-06,4.200247285670147e-07,16.0,0.2556939125061035,4.796441856679413e-08,3.309600526216003e-10,20.0,0.7684056758880615,0.01131016677808674,0.005099728793485609,17.0,0.907414436340332,1.4387955485148066e-06,4.2002472955592527e-07,16.0,1.3062598705291748,4.7964420388225726e-08,3.309595307231572e-10,20.0
512,0.04526805877685547,1.7039923114982807e-11,1.2675914114558046e-11,0.11766934394836426,0.07636034982993521,0.04070043280906988,0.2593398094177246,2.2744461835706598e-06,1.0951187593644705e-06,0.4877004623413086,4.402497680713239e-11,2.1597085536464047e-11,0.1014091968536377,0.0028196275820117065,0.0012524872282659125,0.12021327018737793,1.3900777426427256e-07,2.6124985478364612e-08,0.13713335990905762,2.9894921825968785e-09,1.8678063077481514e-11,0.07853293418884277,0.0028360633310973503,0.0012648677874039563,13.0,0.13102269172668457,1.3900504397620843e-07,2.6122917056146673e-08,13.0,0.21051025390625,2.98949186027388e-09,1.867767120842594e-11,14.0,1.1764190196990967,0.002836063331099213,0.0012648677874038524,13.0,1.4695732593536377,1.3900504243960326e-07,2.6122917272519614e-08,13.0,1.8255136013031006,2.989491504297901e-09,1.8678060859176403e-11,14.0
1024,0.0898749828338623,1.781580711926629e-13,1.0005317454067288e-11,0.23511052131652832,0.04057597414986475,0.021219358036100908,0.512286901473999,2.8390952865150787e-07,1.371161283575997e-07,0.9386279582977295,7.442164706949821e-13,9.909027787400759e-12,0.20171451568603516,0.0007077704159851499,0.0003144575399553842,0.2398238182067871,1.545610168987806e-08,1.6257717106342974e-09,0.2745320796966553,1.871245300644022e-10,1.0374642654176605e-11,0.09178519248962402,0.0007088011851040327,0.00031523294541845374,13.0,0.18773460388183594,1.545606304846164e-08,1.625740395913958e-09,16.0,0.5358192920684814,1.871256370561748e-10,1.0375312113589276e-11,30.0,2.3644585609436035,0.000708801185103819,0.00031523294541765674,13.0,3.63691782951355,1.5456066376285692e-08,1.625745228096716e-09,16.0,8.36984634399414,1.9134472355572113e-10,1.0556133591144697e-11,32.0
2048,0.17609930038452148,6.520766094510156e-13,1.022954689876383e-11,0.46163225173950195,0.020936044307048273,0.010838574539687562,1.0233609676361084,3.5462062501963745e-08,1.7149172717610818e-08,1.9441328048706055,6.235659167769397e-13,1.0222808648538513e-11,0.4072763919830322,0.00017703594828805233,7.865764767625501e-05,0.48221325874328613,1.8405025289836516e-09,9.877770636940585e-11,0.5507781505584717,1.2292661353632572e-11,1.0237866553389608e-11,0.11575627326965332,0.00017710041784465956,7.870611533916918e-05,14.0,0.398728609085083,1.8405013307329064e-09,9.877150953743489e-11,28.0,0.7073488235473633,1.22943941990428e-11,1.0238280142610336e-11,32.0,5.057264804840088,0.0001771004178520156,7.870611534303565e-05,14.0,12.821868896484375,1.840502506755249e-09,9.877784202567774e-11,28.0,11.580326080322266,1.1998045127834112e-11,1.02329725112059e-11,22.0
4096,0.3553586006164551,6.734238902380686e-13,1.0212983904059757e-11,0.9195699691772461,0.010636065895350832,0.005478000215583683,2.035989761352539,4.430512011614463e-09,2.140458645697108e-09,3.8513214588165283,6.727180729686077e-13,1.0212851198185236e-11,0.8124809265136719,4.425402973097707e-05,1.9662020865541397e-05,0.9659724235534668,2.2524822588402095e-10,1.152432012972231e-11,1.10359787940979,1.3818017735996263e-12,1.0211703817930569e-11,0.1245737075805664,4.425803728711586e-05,1.9665035340882644e-05,12.0,0.47475671768188477,2.2524690110490169e-10,1.1518779617292197e-11,25.0,1.1265130043029785,1.3866236739424244e-12,1.0212388339768908e-11,38.0,8.692447423934937,4.4258037288302825e-05,1.96650353407848e-05,12.0,22.852445602416992,2.2524836928732556e-10,1.1524342298958562e-11,25.0,42.07465386390686,1.3812068900812605e-12,1.0211436079714531e-11,40.0
8192,0.713320255279541,6.687280540791376e-13,1.0232632601615391e-11,1.8575842380523682,0.005360783512867502,0.0027538664542997617,4.060476541519165,5.531302126847079e-10,2.6407540114931955e-10,7.502914190292358,6.680775164278517e-13,1.0232562849303305e-11,1.6263792514801025,1.1061847181033907e-05,4.9147149816280755e-06,1.9303910732269287,2.7760853186686122e-11,1.0067962705281025e-11,2.2021756172180176,7.138570646939088e-13,1.0211837375663064e-11,0.2199866771697998,1.1062099571057462e-05,4.914904561332442e-06,15.0,0.3634505271911621,2.7756170090383504e-11,1.0068000800950427e-11,13.0,45.45956635475159,929343.9786841267,1428667.0614877488,1001.0,21.863590240478516,1.1062099565962078e-05,4.914904559367736e-06,15.0,23.812020301818848,2.7760639722792743e-11,1.0068088970961371e-11,13.0,138.92050051689148,7.1365740892789e-13,1.021177207114989e-11,66.0
16384,1.4330966472625732,6.710637558228233e-13,1.0253131615290894e-11,3.7121903896331787,0.0026911707488259753,0.0013806734351545589,8.289614915847778,6.855759801583078e-11,3.243881710214771e-11,15.00969386100769,6.720450974390629e-13,1.0253321039563168e-11,3.267854928970337,2.7651888268820016e-06,1.228546213327499e-06,3.8584001064300537,3.373495829057237e-12,1.0194842490981967e-11,4.393874168395996,6.604738373578723e-13,1.021014808043549e-11,0.3598806858062744,2.7652045882750616e-06,1.228558055890578e-06,16.0,0.9899959564208984,3.374859737523173e-12,1.0204072047102872e-11,21.0,72.93289470672607,3346118.349542668,6214403.084273111,1001.0,46.72516632080078,2.7652045902668435e-06,1.2285580540663952e-06,16.0,99.30572962760925,3.3735742751017547e-12,1.0194813744684861e-11,27.0,163.85835599899292,6.607777759821892e-13,1.0210337439943366e-11,39.0
