Ns,DP5_runtime,DP5_rmse_final,DP5_rmse_traj,ImplicitEuler_runtime,ImplicitEuler_rmse_final,ImplicitEuler_rmse_traj,KV3_runtime,KV3_rmse_final,KV3_rmse_traj,KV5_runtime,KV5_rmse_final,KV5_rmse_traj,EKS(1)_runtime,EKS(1)_rmse_final,EKS(1)_rmse_traj,EKS(2)_runtime,EKS(2)_rmse_final,EKS(2)_rmse_traj,EKS(3)_runtime,EKS(3)_rmse_final,EKS(3)_rmse_traj,IEKS(1)_runtime,IEKS(1)_rmse_final,IEKS(1)_rmse_traj,IEKS(1)_iterations,IEKS(2)_runtime,IEKS(2)_rmse_final,IEKS(2)_rmse_traj,IEKS(2)_iterations,IEKS(3)_runtime,IEKS(3)_rmse_final,IEKS(3)_rmse_traj,IEKS(3)_iterations,sIEKS(1)_runtime,sIEKS(1)_rmse_final,sIEKS(1)_rmse_traj,sIEKS(1)_iterations,sIEKS(2)_runtime,sIEKS(2)_rmse_final,sIEKS(2)_rmse_traj,sIEKS(2)_iterations,sIEKS(3)_runtime,sIEKS(3)_rmse_final,sIEKS(3)_rmse_traj,sIEKS(3)_iterations
16,0.0017633438110351562,3.6391216484688016e-07,4.391840779847077e-06,0.007200479507446289,0.00038692434310438895,0.09044622838619534,0.016500473022460938,2.4102422171878857e-05,0.0015522651108060732,0.026157855987548828,2.5920844359816897e-09,5.321424379407455e-06,0.00266265869140625,0.995302327020014,0.5393555742552886,0.0025877952575683594,4.335483311679322e-05,0.00015898038557369512,0.002561330795288086,1.1512844713568171e-05,1.3777119854387564e-05,0.00507807731628418,0.9954836806966136,0.536313487364402,3.0,0.013162374496459961,0.9848054704885756,0.535111165778589,8.0,0.017257213592529297,1.414696841017804e-05,2.2225469013481764e-06,9.0,0.007134437561035156,0.9954836806966136,0.536313487364402,3.0,0.018822431564331055,0.9848054704885759,0.5351111657785889,8.0,0.021686315536499023,1.414696841017804e-05,2.222546901193569e-06,9.0
32,0.005570411682128906,6.759560244873342e-09,1.4749941217555166e-07,0.013190984725952148,0.0003768698127220027,0.042778368233595085,0.029511213302612305,3.369061150060304e-07,0.00013779654513856155,0.0446164608001709,2.742236770991724e-09,1.1232329458069675e-07,0.004720211029052734,0.000486459864366684,0.010470426521449054,0.005026340484619141,3.6388679731658158e-06,1.7400230852563292e-06,0.005044221878051758,6.740680229544438e-07,7.079841473294586e-08,0.00839376449584961,0.9953215231007663,0.5376085946697924,4.0,0.020601272583007812,3.5105266616985986e-06,7.643992613625187e-07,10.0,0.024013757705688477,6.800097166470565e-07,3.839197131120511e-08,10.0,0.017957687377929688,0.9953215231007663,0.5376085946697924,4.0,0.04599428176879883,3.5105266612545094e-06,7.643992613212106e-07,10.0,0.048375844955444336,6.800097165360341e-07,3.839197255429711e-08,10.0
64,0.009391546249389648,1.4475964871252245e-10,4.699095923168433e-09,0.019276142120361328,0.00023287627789925214,0.020959184749374537,0.0470123291015625,1.958979607419309e-07,1.4895798335178657e-05,0.07806968688964844,1.110479486143845e-10,2.7784559275447884e-09,0.00921177864074707,1.104130244844459e-05,0.00036243688049912034,0.010106086730957031,4.196556527835682e-07,4.379577410329612e-08,0.010020732879638672,3.7281787212961603e-08,1.0265522211580155e-09,0.012625455856323242,0.9946544171051269,0.5381885405290571,5.0,0.019281625747680664,4.1818181917285813e-07,4.459038833385786e-08,8.0,0.03394508361816406,3.730092823506226e-08,9.692918052396637e-10,12.0,0.048070669174194336,0.9946544171051268,0.5381885405290571,5.0,0.07718992233276367,4.1818181917285813e-07,4.459038844534095e-08,8.0,0.1071624755859375,3.730092879017377e-08,9.692931482679999e-10,12.0
128,0.015841007232666016,3.5250691254873345e-12,1.500130904777885e-10,0.03516721725463867,0.00012763684863015268,0.010386295810077507,0.07707977294921875,3.316359864502516e-08,1.741308804851938e-06,0.14385104179382324,4.263700503770451e-12,1.251572461662999e-10,0.01837611198425293,7.213007600093135e-07,1.695254456571839e-05,0.018900394439697266,5.101400879503615e-08,2.6545358215160006e-09,0.019902467727661133,2.1850224962705056e-09,3.58879530910558e-11,0.017793893814086914,0.9918915586300712,0.5382289038805188,6.0,0.025519371032714844,5.0995723088753664e-08,2.694684747908682e-09,9.0,0.039322614669799805,2.185091441120335e-09,3.5903494776832676e-11,12.0,0.11105680465698242,0.9918915586300712,0.5382289038805188,6.0,0.16710495948791504,5.099572286670906e-08,2.6946846139419512e-09,9.0,0.21024870872497559,2.1850917741872422e-09,3.5906231330221083e-11,12.0
256,0.02984786033630371,2.6978419498391304e-14,1.184726164285381e-11,0.0679471492767334,6.664062920203051e-05,0.005171338079882791,0.15116453170776367,4.667709774253126e-09,2.1050603896450882e-07,0.2767155170440674,6.605826996519681e-14,1.1323168788777808e-11,0.03735756874084473,3.6921076529417007e-07,4.404359864919182e-06,0.037651777267456055,6.295456933536059e-09,1.5876369033866354e-10,0.038629770278930664,1.3217016370248302e-10,1.0608683893918551e-11,0.02628016471862793,0.9794998366272502,0.5371250373253316,8.0,0.037671566009521484,6.2954859103570016e-09,1.59611102648258e-10,11.0,0.04369950294494629,1.3216971961327317e-10,1.0608112864963094e-11,12.0,0.28446221351623535,0.9794998366272504,0.5371250373253316,8.0,0.4050719738006592,6.295486465468514e-09,1.5961062223827536e-10,11.0,0.4195575714111328,1.3217027472478549e-10,1.060820533385588e-11,12.0
512,0.05935478210449219,6.938893903907228e-14,1.0419797101833333e-11,0.14257359504699707,3.402930972262741e-05,0.0025803928705572738,0.30283236503601074,6.155421727882526e-10,2.5886981708459346e-08,0.5563163757324219,6.772360450213455e-14,1.0416784822279935e-11,0.0757298469543457,1.0359269275728167e-07,1.1868106532937415e-06,0.07874751091003418,7.820364356092568e-10,9.75776309592954e-12,0.07383108139038086,8.061662448710649e-12,1.0426814275134094e-11,0.05314016342163086,1.0747135315014589e-07,1.2231786154544802e-06,14.0,0.04862236976623535,7.820329939178805e-10,9.760347857625667e-12,12.0,0.05259895324707031,8.061329381803262e-12,1.0426562174412068e-11,12.0,1.0582950115203857,1.0747135303912358e-07,1.223178612799347e-06,14.0,0.8794152736663818,7.820317726725534e-10,9.760355884109876e-12,12.0,0.8638613224029541,8.061662448710649e-12,1.0426760586797765e-11,12.0
1024,0.11643195152282715,7.183142969324763e-14,1.0155616483805167e-11,0.2817103862762451,1.7192370800223067e-05,0.0012888979941575178,0.6336460113525391,7.898948162221586e-11,3.2083928277538195e-09,1.0994267463684082,7.194245199571014e-14,1.0155562092431492e-11,0.15252470970153809,2.6570220357235996e-08,3.031074422691373e-07,0.15599870681762695,9.75100000744078e-11,9.845020391502585e-12,0.14888787269592285,4.32542890393961e-13,1.015593535782849e-11,0.03917193412780762,2.6810763720241937e-08,3.054533515516706e-07,9.0,0.0518801212310791,9.750977802980287e-11,9.845107827325598e-12,12.0,0.0558013916015625,4.3209880118411093e-13,1.0155536215574953e-11,12.0,1.3283188343048096,2.6810763498197332e-08,3.0545335071165787e-07,9.0,1.7440228462219238,9.75100000744078e-11,9.845085579158206e-12,12.0,1.7200520038604736,4.3243186809149847e-13,1.0155972810237286e-11,12.0
2048,0.2331249713897705,7.216449660063518e-14,1.0151019646164813e-11,0.5397517681121826,8.640674979187857e-06,0.0006441269265981273,1.2041141986846924,1.0059841848431006e-11,3.9843523907374343e-10,2.2464232444763184,7.227551890309769e-14,1.0151011202093362e-11,0.2985672950744629,6.681093789318027e-09,7.617124264200511e-08,0.31128883361816406,1.2233769552949525e-11,1.0129622647781368e-11,0.30329132080078125,4.0190073491430667e-14,1.0152054578971856e-11,0.04223895072937012,6.696092014202293e-09,7.631902130385685e-08,9.0,0.05958890914916992,1.2232326263017512e-11,1.0129600144657058e-11,12.0,0.06450319290161133,4.0967229608668276e-14,1.0152624095973502e-11,12.0,2.5621817111968994,6.696091570113083e-09,7.631901929348429e-08,9.0,3.455622673034668,1.2233880575251987e-11,1.0129619123277274e-11,12.0,3.317760467529297,3.985700658404312e-14,1.0152054772942401e-11,12.0
4096,0.5372364521026611,7.249756350802272e-14,1.0154256607983734e-11,1.0687346458435059,4.331467572171732e-06,0.000321983264392982,2.5125107765197754,1.3277157151492247e-12,4.923945096753699e-11,4.585917949676514,7.249756350802272e-14,1.0154249773274883e-11,0.6046197414398193,1.6723177287403246e-09,1.906036361207475e-08,0.6225628852844238,1.5901724381706117e-12,1.0152901360350325e-11,0.5997440814971924,6.994405055138486e-14,1.0154255492017826e-11,0.05278348922729492,1.6743759712056772e-09,1.90696405598002e-08,9.0,0.07339286804199219,1.5920598173124745e-12,1.015341898726659e-11,12.0,0.07919764518737793,6.80566714095221e-14,1.0154877325162427e-11,12.0,5.098807096481323,1.6743725295143008e-09,1.9069641997492938e-08,9.0,7.024510383605957,1.5901724381706117e-12,1.015291240523644e-11,12.0,6.660443067550659,7.005507285384738e-14,1.0154294061239563e-11,12.0
8192,0.8975584506988525,7.149836278586008e-14,1.0166117298424253e-11,2.1595265865325928,2.1685172514329665e-06,0.00016097162328095643,5.100446939468384,2.3014923300479495e-13,1.2244226564742051e-11,9.102751016616821,7.149836278586008e-14,1.0166099235446653e-11,1.1747376918792725,4.1820447105322955e-10,4.760931501177311e-09,1.2037324905395508,2.632338791386246e-13,1.0155385453874738e-11,1.2032008171081543,7.30526750203353e-14,1.0155378284376114e-11,0.06057310104370117,4.182961754750636e-10,4.7615150237848845e-09,8.0,0.0932161808013916,2.616795669041494e-13,1.0156871812043986e-11,12.0,0.0985407829284668,7.30526750203353e-14,1.0155071473584267e-11,12.0,9.103883981704712,4.182967305865759e-10,4.761510589049233e-09,8.0,13.56611680984497,2.632338791386246e-13,1.0155344701849096e-11,12.0,13.281306266784668,7.30526750203353e-14,1.0155445785913988e-11,12.0
