Ns,DP5_runtime,DP5_rmse_final,DP5_rmse_traj,ImplicitEuler_runtime,ImplicitEuler_rmse_final,ImplicitEuler_rmse_traj,KV3_runtime,KV3_rmse_final,KV3_rmse_traj,KV5_runtime,KV5_rmse_final,KV5_rmse_traj,EKS(1)_runtime,EKS(1)_rmse_final,EKS(1)_rmse_traj,EKS(2)_runtime,EKS(2)_rmse_final,EKS(2)_rmse_traj,EKS(3)_runtime,EKS(3)_rmse_final,EKS(3)_rmse_traj,IEKS(1)_runtime,IEKS(1)_rmse_final,IEKS(1)_rmse_traj,IEKS(1)_iterations,IEKS(2)_runtime,IEKS(2)_rmse_final,IEKS(2)_rmse_traj,IEKS(2)_iterations,IEKS(3)_runtime,IEKS(3)_rmse_final,IEKS(3)_rmse_traj,IEKS(3)_iterations,sIEKS(1)_runtime,sIEKS(1)_rmse_final,sIEKS(1)_rmse_traj,sIEKS(1)_iterations,sIEKS(2)_runtime,sIEKS(2)_rmse_final,sIEKS(2)_rmse_traj,sIEKS(2)_iterations,sIEKS(3)_runtime,sIEKS(3)_rmse_final,sIEKS(3)_rmse_traj,sIEKS(3)_iterations
128,0.012669801712036133,2.6950331076091064e-06,1.4736706210314912e-06,0.03416252136230469,0.8088620740263369,0.5817716317602855,0.09548592567443848,0.006175863836911999,0.0030460214419165293,0.14203095436096191,2.249333120200078e-05,8.429675763841444e-06,0.021962404251098633,0.6126967890754654,0.8457592331134176,0.02347421646118164,0.052071351153236335,0.01927570402015983,0.027466297149658203,0.000180465701122147,8.174337885850745e-05,0.5608699321746826,1.4389549820389071,0.9582775885287913,148.0,0.0861814022064209,0.06745032679449567,0.02539640576316661,17.0,0.07583904266357422,0.0001814251464118555,8.186223333197444e-05,10.0,2.7993834018707275,1.4389549820389076,0.958277588528791,148.0,0.37811899185180664,0.06745032679450627,0.025396405763176505,17.0,0.26146411895751953,0.0001814251464247914,8.18622333355371e-05,10.0
256,0.021978139877319336,8.873849720061997e-08,4.6560591542280447e-08,0.058349609375,0.6360626227593154,0.3999534142939847,0.1551668643951416,0.0007584460408792755,0.0003768128434822037,0.24576401710510254,9.129773234752686e-07,3.292364576852978e-07,0.05186772346496582,1.498421455490205,0.6816835187204413,0.04680895805358887,0.003980503656261589,0.0014880757586755054,0.05477404594421387,1.3786152290305663e-06,1.2528315297831726e-06,0.35694265365600586,1.1325383067075705,1.0070486978970388,81.0,0.0655510425567627,0.004067814912872873,0.00152274500144485,11.0,0.0860433578491211,1.3674814993283622e-06,1.245753321839052e-06,10.0,3.0526251792907715,1.132538306707568,1.0070486978970363,81.0,0.4888331890106201,0.004067814912964409,0.0015227450014769404,11.0,0.521007776260376,1.367481469383481e-06,1.245753299456892e-06,10.0
512,0.04863142967224121,2.7372624269190963e-09,1.4029172119642257e-09,0.11871910095214844,0.4188186147243621,0.24114487237557455,0.2587919235229492,9.373143254416986e-05,4.673855884224906e-05,0.4658317565917969,2.0714200134800546e-08,7.747344426143768e-09,0.08849501609802246,0.9188070839933576,0.34274168798858484,0.09359359741210938,0.00025153643941469816,9.351771616134336e-05,0.10986757278442383,1.0045550026924363e-07,1.9511699977318383e-08,0.2924206256866455,1.3563865490269482,0.6357935755508918,57.0,0.07242727279663086,0.0002519590963234109,9.368510329075942e-05,10.0,0.10075521469116211,1.0051597593654667e-07,1.948146131214218e-08,10.0,4.284849166870117,1.3563865490269473,0.6357935755508946,57.0,0.8884618282318115,0.0002519590963278988,9.368510328483309e-05,10.0,1.0444869995117188,1.0051594907333912e-07,1.948147246451867e-08,10.0
1024,0.09154725074768066,7.96501424832333e-11,4.672594465219553e-11,0.2258303165435791,0.24350614711408253,0.13346497032515275,0.516650915145874,1.1646825428481783e-05,5.817106656699752e-06,0.9196784496307373,6.322037554356204e-10,2.3360611341500453e-10,0.17585229873657227,0.3951007352695746,0.14140020340702847,0.1863236427307129,1.582117503694583e-05,5.811293346951448e-06,0.21868205070495605,8.389342639372482e-09,3.1120698923401766e-10,0.22004914283752441,0.7236868829973915,0.28871957926833913,36.0,0.0831308364868164,1.5823454786487858e-05,5.8121851849970176e-06,10.0,0.11752486228942871,8.389663885381273e-09,3.110501979365282e-10,10.0,5.443570613861084,0.723686882997401,0.288719579268338,36.0,1.7717514038085938,1.5823454931693327e-05,5.8121852347583296e-06,10.0,2.094967842102051,8.389679716585297e-09,3.1104315941436254e-10,10.0
2048,0.17812633514404297,6.7869848707459565e-12,3.1827070025501245e-11,0.4686543941497803,0.13174344581989617,0.07036234756375032,1.030163288116455,1.4514282383718425e-06,7.254749222356019e-07,1.7893025875091553,1.1850436261343623e-11,3.202344237218454e-11,0.34895825386047363,0.13653921592441062,0.05031016993368927,0.37454652786254883,1.0089178609609104e-06,3.619252655397997e-07,0.44035816192626953,5.643377886396679e-10,3.2516633576734476e-11,0.15008902549743652,0.18153868490841238,0.06867113465416119,21.0,0.09926724433898926,1.0089304573281398e-06,3.6193001278563725e-07,10.0,0.14238953590393066,5.64392052612573e-10,3.2508846886125554e-11,10.0,6.373506307601929,0.18153868490837244,0.0686711346541391,21.0,3.560194730758667,1.008930600041105e-06,3.6193006913095733e-07,10.0,4.186293601989746,5.642418519319012e-10,3.2522367845013383e-11,10.0
4096,0.3547523021697998,7.985268404482739e-12,3.247754372558629e-11,0.9063258171081543,0.06858334113462018,0.03614627829911479,1.9910309314727783,1.81145427367257e-07,9.056297237844439e-08,3.706589698791504,7.479063447404986e-12,3.240759234809565e-11,0.7029228210449219,0.04092060585551798,0.015303256550007766,0.7522711753845215,6.590565164193887e-08,2.257358460244194e-08,0.8825387954711914,4.31224861009574e-11,3.249796747467235e-11,0.11396217346191406,0.044942015841416494,0.01692685770308317,13.0,0.12794923782348633,6.590570800516836e-08,2.2573589397672855e-08,10.0,0.1881415843963623,4.302827573362447e-11,3.249650542839834e-11,10.0,7.828982830047607,0.04494201584143372,0.01692685770307633,13.0,7.148802995681763,6.59056516562365e-08,2.2573580520666186e-08,10.0,8.417131662368774,4.308294796111131e-11,3.249677706109607e-11,10.0
8192,0.7483267784118652,8.102159185937142e-12,3.2893376128121074e-11,1.815026044845581,0.034998752433419364,0.018322133122424814,4.221064329147339,2.262056867104261e-08,1.1296926143604852e-08,7.4349377155303955,8.098137656165853e-12,3.289246439977266e-11,1.409799575805664,0.01093688644751738,0.004108649054880049,1.5074732303619385,4.487688067442116e-09,1.4067036328456303e-09,1.765455722808838,1.0276894041303968e-11,3.2505031115970606e-11,0.12776994705200195,0.011222761934947902,0.004223754712443547,11.0,0.18857526779174805,4.487933340983516e-09,1.4067972205978144e-09,10.0,0.2776978015899658,1.016307887156086e-11,3.248882583397301e-11,10.0,13.370729207992554,0.011222761935008329,0.004223754712458983,11.0,14.324090957641602,4.487733443824461e-09,1.40670963182489e-09,10.0,16.800310373306274,1.0267624661122457e-11,3.250630929003291e-11,10.0
16384,1.4252784252166748,7.961590088411718e-12,3.214321470874496e-11,3.5985867977142334,0.017679968691718746,0.009224315619091983,8.112937211990356,2.821243490077749e-09,1.3969400309152194e-09,14.452678918838501,7.938636852898249e-12,3.214234223901129e-11,2.8190386295318604,0.0027864547474269427,0.0010480286567414567,2.9993457794189453,3.2284584364980986e-10,9.58860800718268e-11,3.525960683822632,8.47052305711725e-12,3.2544441498815884e-11,0.1803748607635498,0.0028049769239221023,0.0010554814988175234,10.0,0.307614803314209,3.2286558631373727e-10,9.585611163899255e-11,10.0,0.4761772155761719,8.00850401324359e-12,3.2496919312722277e-11,10.0,24.347495317459106,0.002804976924162241,0.0010554814989074497,10.0,28.688167095184326,3.2289216777558995e-10,9.588768601989161e-11,10.0,33.639692068099976,8.409601611151908e-12,3.2541977750249425e-11,10.0
32768,2.8516123294830322,8.082876658394902e-12,3.242594792048956e-11,7.304656267166138,0.00888562205371909,0.004628097519512513,16.32683300971985,3.4739459294743074e-10,1.6570309483749943e-10,29.748167753219604,8.07978711184696e-12,3.242595690963524e-11,5.599938869476318,0.0007000108336427936,0.0002633629854986077,6.02109956741333,2.0650806536669794e-11,3.241984531135268e-11,7.034817934036255,8.348733102835681e-12,3.253680763492255e-11,0.2972910404205322,0.000701172248536245,0.0002638303269360806,10.0,0.5474205017089844,2.0352061179241383e-11,3.239777511562848e-11,10.0,0.8467864990234375,7.880139717981373e-12,3.2478017645166246e-11,10.0,48.82763624191284,0.0007011722484499068,0.0002638303269111973,10.0,57.20529246330261,2.0681770991606076e-11,3.2420841476948454e-11,10.0,67.11963224411011,8.302310612850397e-12,3.253538288448259e-11,10.0
65536,6.269096612930298,7.948754188302024e-12,3.2487347226662935e-11,15.015924215316772,0.004454282423904542,0.002318049765744623,32.479201793670654,3.8660175949520544e-11,3.473907205775285e-11,58.81887125968933,7.959848745222386e-12,3.2487936479785344e-11,11.27020001411438,0.0001752147593199786,6.59252664157878e-05,12.06560492515564,6.4129123653991074e-12,3.242892534418768e-11,14.057789087295532,1.2586422511429406e-11,3.299539749927973e-11,0.5464098453521729,0.0001752873785823663,6.595448830334062e-05,10.0,1.0268714427947998,5.879609766495588e-12,3.2383354271282586e-11,10.0,1.578578233718872,7.85228981434371e-12,3.243668529953024e-11,10.0,97.70152354240417,0.00017528737851196756,6.595448828043094e-05,10.0,115.01791596412659,6.339482162650746e-12,3.242314376026547e-11,10.0,134.4363296031952,1.25901048196981e-11,3.2997397726237674e-11,10.0
