Ns,DP5_runtime,DP5_rmse_final,DP5_rmse_traj,ImplicitEuler_runtime,ImplicitEuler_rmse_final,ImplicitEuler_rmse_traj,KV3_runtime,KV3_rmse_final,KV3_rmse_traj,KV5_runtime,KV5_rmse_final,KV5_rmse_traj,EKS(1)_runtime,EKS(1)_rmse_final,EKS(1)_rmse_traj,EKS(2)_runtime,EKS(2)_rmse_final,EKS(2)_rmse_traj,EKS(3)_runtime,EKS(3)_rmse_final,EKS(3)_rmse_traj,IEKS(1)_runtime,IEKS(1)_rmse_final,IEKS(1)_rmse_traj,IEKS(1)_iterations,IEKS(2)_runtime,IEKS(2)_rmse_final,IEKS(2)_rmse_traj,IEKS(2)_iterations,IEKS(3)_runtime,IEKS(3)_rmse_final,IEKS(3)_rmse_traj,IEKS(3)_iterations,sIEKS(1)_runtime,sIEKS(1)_rmse_final,sIEKS(1)_rmse_traj,sIEKS(1)_iterations,sIEKS(2)_runtime,sIEKS(2)_rmse_final,sIEKS(2)_rmse_traj,sIEKS(2)_iterations,sIEKS(3)_runtime,sIEKS(3)_rmse_final,sIEKS(3)_rmse_traj,sIEKS(3)_iterations
128,0.013501167297363281,1.0907575340109222e-07,2.4537109974717772e-08,0.033181190490722656,0.5349855477494737,0.16722190360080397,0.07982826232910156,0.000220453371857939,7.400857713685984e-05,0.13475513458251953,2.0459315418930002e-07,5.994168321202038e-08,0.018909692764282227,0.08212033144268989,0.03050378438282503,0.020337581634521484,0.00039695564619751493,7.616956825485796e-05,0.022708654403686523,2.763289525183287e-05,4.863159447773558e-07,0.11344718933105469,0.03381935127230488,0.017175361341598062,41.0,0.03769540786743164,0.0004067727169437156,7.927260202472534e-05,10.0,0.04445362091064453,2.76387028846708e-05,4.882013367986718e-07,10.0,0.6929137706756592,0.03381935127230349,0.017175361341599596,41.0,0.19101357460021973,0.00040677271694923816,7.927260202444834e-05,10.0,0.2124032974243164,2.7638702876628637e-05,4.882013386734979e-07,10.0
256,0.023454666137695312,1.4396581944709647e-09,3.50275652063898e-10,0.0596466064453125,0.31182351577553985,0.08581590791515709,0.1425783634185791,2.957304079018839e-05,9.436026411423239e-06,0.2491440773010254,4.237142211137566e-09,1.5379276799722263e-09,0.04140210151672363,0.02038291949304096,0.0073921467788011066,0.04024052619934082,3.168356145286258e-05,4.310286867808195e-06,0.04511070251464844,1.7371403077681412e-06,1.3151878768526868e-08,0.06372499465942383,0.011078726812333989,0.00489027045596534,20.0,0.044020652770996094,3.176142310309128e-05,4.334940967595828e-06,10.0,0.050504446029663086,1.7371396391782574e-06,1.3156724301917628e-08,10.0,0.6792008876800537,0.011078726812335543,0.004890270455965956,20.0,0.38118600845336914,3.176142311691967e-05,4.334940970978102e-06,10.0,0.42475390434265137,1.7371396325625953e-06,1.3156727191478828e-08,10.0
512,0.04855155944824219,1.6516619496320916e-11,5.500349063730468e-11,0.11299848556518555,0.16861556030175204,0.043339412881738454,0.2706761360168457,3.830341208546051e-06,1.1915291795129594e-06,0.4846463203430176,1.6005121197321078e-10,8.603191683319115e-11,0.07510781288146973,0.004000557282662685,0.001536082089580499,0.08037137985229492,3.009576771061185e-06,2.532460723656919e-07,0.0902242660522461,1.0847230307986905e-07,4.0050891333900636e-10,0.048004865646362305,0.0029766997342745064,0.001269822319115656,13.0,0.05423450469970703,3.0102175522107606e-06,2.5344928124487333e-07,10.0,0.05957484245300293,1.0847221611623826e-07,4.005225006253156e-10,10.0,0.8803975582122803,0.0029766997342806634,0.0012698223191200011,13.0,0.7621293067932129,3.0102175660307697e-06,2.53449290519131e-07,10.0,0.8489658832550049,1.0847223064011808e-07,4.005217237152949e-10,10.0
1024,0.09268450736999512,1.5423146331584464e-12,5.285336442092531e-11,0.22263669967651367,0.0876573764009548,0.021758146711548396,0.5486853122711182,4.877860369319072e-07,1.4980384992677275e-07,0.979665994644165,6.2541846889012304e-12,5.3204363648344306e-11,0.14690923690795898,0.0008355728842373413,0.00034014775731779144,0.16083455085754395,3.2317179928763774e-07,1.5347309298981862e-08,0.1804523468017578,6.767082719408467e-09,6.213224202745587e-11,0.046297311782836914,0.0007570586923313383,0.0003202478101599455,11.0,0.06053924560546875,3.231773546195762e-07,1.5349062202445434e-08,10.0,0.06905317306518555,6.767060569877001e-09,6.213252733440037e-11,10.0,1.4828078746795654,0.0007570586923004341,0.00032024781014901814,11.0,1.5240740776062012,3.2317734761263847e-07,1.5349064595425312e-08,10.0,1.702772855758667,6.76707198923474e-09,6.21325819435468e-11,10.0
2048,0.18480730056762695,1.6846139610035298e-12,5.341062220149035e-11,0.44246625900268555,0.04468361600779737,0.010898468518247498,1.102747917175293,6.153019115020667e-08,1.8763445853717556e-08,1.9155304431915283,1.820509714121005e-12,5.3417236394027694e-11,0.29825711250305176,0.00019523493865052246,8.151223388371551e-05,0.321763277053833,3.729736024696599e-08,9.480380212855446e-10,0.3593614101409912,4.2088667360827064e-10,5.355719873710693e-11,0.049881696701049805,0.00018999361702990076,8.019788227091003e-05,10.0,0.07165837287902832,3.729747906740882e-08,9.480707301333038e-10,10.0,0.08638334274291992,4.208511112787376e-10,5.355851617143258e-11,10.0,2.6900529861450195,0.00018999361706478456,8.019788227232438e-05,10.0,3.0510241985321045,3.729740516342891e-08,9.480531501441154e-10,10.0,3.402677536010742,4.208864235322853e-10,5.355724553611973e-11,10.0
4096,0.35170865058898926,1.6578905075329777e-12,5.3258945919119745e-11,0.8819255828857422,0.02255736788523683,0.005453726212614474,2.1225578784942627,7.72462322200482e-09,2.336003881137759e-09,3.8536486625671387,1.6683091284337207e-12,5.325922129273825e-11,0.58778977394104,4.7868201138854964e-05,2.0136542825072277e-05,0.6478867530822754,4.476748335677353e-09,8.354291568885214e-11,0.7215664386749268,2.4759805996097263e-11,5.330670600305491e-11,0.0632932186126709,4.753332618021184e-05,2.0052851013581074e-05,10.0,0.08665299415588379,4.476671328047675e-09,8.353461479544847e-11,10.0,0.10411286354064941,2.481463046018426e-11,5.330500421861999e-11,10.0,5.232594013214111,4.7533326212985885e-05,2.005285100946632e-05,10.0,6.07529878616333,4.476748982316747e-09,8.354246167510234e-11,10.0,6.808032035827637,2.4762902445304674e-11,5.3306760912096446e-11,10.0
8192,0.7226364612579346,1.7024802783451236e-12,5.337860553027251e-11,1.8016250133514404,0.011332776032949247,0.002727940425820757,4.223225355148315,9.663480899185854e-10,2.880174818502671e-10,7.8085291385650635,1.704484404070401e-12,5.337870101555718e-11,1.1812362670898438,1.1905173298683697e-05,5.0180176694871385e-06,1.307161569595337,5.495316082277038e-10,5.398957974474171e-11,1.4512221813201904,1.366021946615683e-13,5.331271510372627e-11,0.07987213134765625,1.1884073811433943e-05,5.0127499961401585e-06,10.0,0.11449241638183594,5.495365171347877e-10,5.3995012306154315e-11,10.0,0.14478206634521484,9.279578508732406e-14,5.330585463867847e-11,10.0,10.60246992111206,1.1884073705560879e-05,5.012749964116024e-06,10.0,12.248807191848755,5.495261157686434e-10,5.3989102273183284e-11,10.0,13.639286518096924,1.2957439508269024e-13,5.3312458109752345e-11,10.0
16384,1.4821276664733887,1.6805474198218587e-12,5.323518502548552e-11,3.588505506515503,0.005679934533129199,0.001364233767717808,8.442601442337036,1.1944530670924053e-10,6.389223121262623e-11,15.265857458114624,1.678459138347038e-12,5.323520168693588e-11,2.3487656116485596,2.9722070892863622e-06,1.2533973376777552e-06,2.5965383052825928,6.931528609999598e-11,5.333858590894986e-11,2.9101221561431885,1.6071336639249813e-12,5.33158434319186e-11,0.11551356315612793,2.9708829294136172e-06,1.2530668708177904e-06,10.0,0.1775650978088379,6.917619700064252e-11,5.3332663255008465e-11,10.0,0.22139906883239746,1.779561521751364e-12,5.331718302948539e-11,10.0,21.445977449417114,2.970883845911263e-06,1.2530670968916745e-06,10.0,24.6280198097229,6.931144969018266e-11,5.333842061801683e-11,10.0,27.35934567451477,1.6123622783287403e-12,5.3315854444926636e-11,10.0
32768,2.9054276943206787,1.7535622874651538e-12,5.3383204953626015e-11,7.3073084354400635,0.0028433567172345534,0.0006821820454545455,16.962507009506226,1.3528501286773846e-11,5.3415495855456016e-11,31.264841318130493,1.7526480843692144e-12,5.338321447509361e-11,4.719216585159302,7.427737771581481e-07,3.132617660910985e-07,5.195648431777954,1.0100465530290541e-11,5.331882164191971e-11,5.7804930210113525,2.349704945021162e-12,5.33419472854816e-11,0.18523550033569336,7.426889440395577e-07,3.1324058032275614e-07,10.0,0.29073548316955566,8.194462043754061e-12,5.328268921169651e-11,10.0,0.3711681365966797,8.106010417670473e-13,5.329315496938364e-11,10.0,42.56744599342346,7.426910162729916e-07,3.132411015811878e-07,10.0,49.20637512207031,1.0100435780920002e-11,5.3318822868078976e-11,10.0,54.72603416442871,2.3452868436644454e-12,5.334212982242287e-11,10.0
65536,6.049439907073975,1.8171980971609325e-12,5.339201058560791e-11,14.638494968414307,0.0014225260661724255,0.00034110721903633464,34.026020765304565,4.993885843294446e-13,5.333801139161229e-11,62.11295485496521,1.832226846850003e-12,5.339195120035791e-11,9.502912044525146,1.8567425574225322e-07,7.83009690278629e-08,10.407173156738281,2.6642064832753156e-12,5.331675490166493e-11,11.590825080871582,7.004110489088255e-12,5.360594214596194e-11,0.3173954486846924,1.856725545843231e-07,7.83003506438243e-08,10.0,0.5404598712921143,2.6937631601433586e-12,5.331364570672581e-11,10.0,0.6652278900146484,1.6766373893908076e-12,5.33136044190447e-11,10.0,84.60073828697205,1.8566906334291026e-07,7.829968145020374e-08,10.0,98.45794177055359,2.6610902396930728e-12,5.331679392350921e-11,10.0,110.02677297592163,6.991180382733259e-12,5.36051556524324e-11,10.0
131072,12.727456331253052,1.6455193546322004e-12,5.465581795650444e-11,29.782642602920532,0.0007114750021901787,0.00017055764977469897,68.91484570503235,1.4137850443109508e-12,5.4659496621169344e-11,124.32429432868958,1.645343705321436e-12,5.4655822938427054e-11,18.991421222686768,4.641857060180088e-08,1.9566691861455083e-08,20.731470823287964,1.565308714374915e-12,5.330400885911449e-11,23.224560499191284,1.8591937044915725e-12,5.3324063116637936e-11,0.6340482234954834,4.641918488063395e-08,1.9566439943168092e-08,10.0,1.0207760334014893,5.3093767046887e-13,5.327684694692095e-11,10.0,1.2406387329101562,6.122607703377414e-13,5.329296164129683e-11,10.0,168.28572416305542,4.641823317776699e-08,1.9566606233293963e-08,10.0,197.17288088798523,1.5655281915220507e-12,5.3304081722158566e-11,10.0,219.9452474117279,1.858363264722082e-12,5.332339888627645e-11,10.0
262144,27.673359870910645,1.7285403948149087e-12,6.019746241621777e-11,59.68530869483948,0.00035579049772516797,8.527982164223603e-05,139.6721739768982,1.71646735808032e-12,6.019466916867043e-11,262.29742431640625,1.7278874998031775e-12,6.019743852959197e-11,41.70011353492737,1.1605748331243622e-08,4.883860360912782e-09,44.83702874183655,1.7725563662566646e-12,5.3328692155554706e-11,46.52049112319946,1.0166164258217649e-12,5.328318747495529e-11,1.2426412105560303,1.160512021362487e-08,4.883356329991608e-09,10.0,1.9917724132537842,2.2010566799842156e-12,5.329255163541603e-11,10.0,2.4056687355041504,1.3041434456074622e-12,5.3287694166504935e-11,10.0,338.2329387664795,1.1605732495051553e-08,4.883856977123875e-09,10.0,393.1460647583008,1.771473987247336e-12,5.3328816223864e-11,10.0,439.71676325798035,1.017804731173164e-12,5.3283159989270095e-11,10.0
524288,63.55060124397278,1.7356889308175619e-12,9.698660878454856e-11,124.18717908859253,0.00017790849824685329,4.26401000507778e-05,283.26164984703064,1.7516072645566948e-12,9.698948261692052e-11,516.2096002101898,1.7385987923604678e-12,9.69870667549592e-11,83.80383729934692,2.9029507277626257e-09,1.2145968982736817e-09,88.85629272460938,2.7964552222653926e-12,5.3363365697292526e-11,95.61396551132202,1.6954185238086012e-12,5.33122933050532e-11,2.5510427951812744,2.902672458470116e-09,1.2145707587305449e-09,10.0,4.059576511383057,1.4255005273534387e-12,5.369139177695186e-11,10.0,4.828822135925293,1.9920272087150416e-12,5.328073572073873e-11,10.0,675.752788066864,2.9029478588169185e-09,1.2145962476806378e-09,10.0,784.9374537467957,2.7915087515701206e-12,5.336327109305659e-11,10.0,878.0883920192719,1.6942864738902633e-12,5.331221093793221e-11,10.0
